timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,15.4883,49.0445,460.6020,42766.0321,5.2316,0.8462,14.3353,130,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=30,bb_std=2)",1.0000,15.2710,7,0.9699,0.2500,0.2000,0.1500,0.1500,0.0700,0.0999,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.3055,28.5393,205.3064,32984.5719,7.0489,0.7910,8.2439,134,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=15,bb_std=2)",1.0000,11.4636,8,0.9693,0.2497,0.2000,0.1500,0.1500,0.0713,0.0993,0.0490,0.0000,1.0000,30.2877
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,19.6016,132.3166,1679.6471,41137.2488,1.6220,0.8618,28.8105,123,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2)",1.0000,13.9687,7,0.9675,0.2500,0.2000,0.1500,0.1500,0.0675,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.5720,30.0217,44.5753,14369.1688,8.1214,0.7534,4.7829,146,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2)",1.0000,9.2570,7,0.9664,0.2496,0.1999,0.1481,0.1500,0.0750,0.0990,0.0448,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,12.9219,41.0807,100.7567,14610.5893,5.7477,0.8136,9.1440,118,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=30,bb_std=2.5)",1.0000,9.9991,6,0.9652,0.2499,0.2000,0.1500,0.1500,0.0657,0.0997,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,12.9219,41.0807,100.7567,14610.5893,5.7477,0.8136,9.1440,118,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=30,bb_std=2.5)",1.0000,8.2522,5,0.9652,0.2499,0.2000,0.1500,0.1500,0.0657,0.0997,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.4693,47.8036,177.5058,17460.5254,4.7692,0.7876,10.8483,113,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,10.6030,6,0.9620,0.2499,0.2000,0.1500,0.1500,0.0637,0.0998,0.0486,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.4693,47.8036,177.5058,17460.5254,4.7692,0.7876,10.8483,113,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,11.9525,7,0.9620,0.2499,0.2000,0.1500,0.1500,0.0637,0.0998,0.0486,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.4693,47.8036,177.5058,17460.5254,4.7692,0.7876,10.8483,113,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,11.3329,5,0.9620,0.2499,0.2000,0.1500,0.1500,0.0637,0.0998,0.0486,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.4693,47.8036,177.5058,17460.5254,4.7692,0.7876,10.8483,113,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,11.9391,6,0.9620,0.2499,0.2000,0.1500,0.1500,0.0637,0.0998,0.0486,0.0000,0.0000,0.0000
