timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,47.5482,159.3561,45673807.9551,17271.4706,8.7188,0.8611,7.6282,144,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=15,bb_std=1.5)",1.0000,40.7346,7,0.9744,0.2500,0.2000,0.1500,0.1500,0.0744,0.1000,0.0500,0.0000,1.0000,189.7728
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,57.5607,254.3514,929796424.2811,20876.3166,5.2848,0.8849,12.7942,139,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,49.4969,6,0.9729,0.2500,0.2000,0.1500,0.1500,0.0729,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,29.1613,77.5000,3670.0783,24633.3133,24.5194,0.7179,3.0872,397,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=15,bb_std=1.5)",1.0000,33.7966,5,0.9724,0.2500,0.2000,0.1325,0.1500,0.0990,0.1000,0.0409,0.0000,0.6000,44.7546
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,18.9284,41.6788,26039.9745,15840.8656,14.1981,0.6773,3.7816,251,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2)",1.0000,21.8401,8,0.9724,0.2500,0.2000,0.1428,0.1500,0.0932,0.1000,0.0364,0.0000,1.0000,96.7754
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,21.5941,48.1412,150862.8564,18343.8793,15.7639,0.6711,3.9446,225,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,28.5671,5,0.9704,0.2500,0.2000,0.1442,0.1500,0.0905,0.1000,0.0357,0.0000,1.0000,111.1834
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,47.4046,154.6278,211971578.3524,17351.9803,8.9804,0.8702,7.2821,131,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=30,bb_std=2)",1.0000,44.5015,7,0.9702,0.2500,0.2000,0.1499,0.1500,0.0703,0.1000,0.0500,0.0000,1.0000,225.1050
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,20.5193,45.3556,36775.9634,18393.6416,18.5830,0.6693,3.5552,257,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,23.1438,6,0.9695,0.2500,0.2000,0.1404,0.1500,0.0937,0.1000,0.0355,0.0000,1.0000,122.0771
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,28.9339,73.7495,18847.6449,11184.3652,16.1002,0.7143,3.5797,203,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",1.0000,31.3143,9,0.9686,0.2500,0.2000,0.1407,0.1500,0.0875,0.1000,0.0405,0.0000,1.0000,123.5518
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,32.2632,90.3503,899123.2373,14220.3240,16.2035,0.7531,3.9887,162,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=15,bb_std=2)",1.0000,37.5413,8,0.9686,0.2500,0.2000,0.1445,0.1500,0.0793,0.1000,0.0448,0.0000,1.0000,82.1027
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,37.6601,159.2418,279518.0120,20176.3550,4.9714,0.7698,10.3493,252,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=15,bb_std=2)",0.8571,22.2328,7,0.9685,0.2500,0.2000,0.1500,0.1286,0.0933,0.1000,0.0466,0.0000,0.6667,50.8670
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,46.3678,176.2198,262275769.3249,15927.7042,7.2667,0.8468,8.8196,124,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2)",1.0000,45.0907,7,0.9679,0.2500,0.2000,0.1500,0.1500,0.0679,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,30.5333,97.0262,354312.3763,10016.6553,6.9635,0.7248,6.2565,149,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",1.0000,26.6156,9,0.9673,0.2500,0.2000,0.1497,0.1500,0.0759,0.1000,0.0416,0.0000,1.0000,85.6162
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,42.6302,135.9758,86279688.0649,13864.8830,9.6899,0.8319,6.4590,119,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",1.0000,40.1856,9,0.9658,0.2500,0.2000,0.1498,0.1500,0.0660,0.1000,0.0500,0.0000,0.0000,0.0000
