symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,15,15,2.0,21,2.0,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,2.0,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,2.0,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,0.8,1.8,-2.549,148,-2306.90,38.46,0.28
BTCUSDT,donchian,chan,20,20,2.0,10,0.8,2.5,-1.842,120,-1773.55,31.75,0.27
BTCUSDT,donchian,chan,20,20,2.0,10,0.8,3.0,-2.755,116,-2885.14,41.12,0.24
BTCUSDT,donchian,chan,20,20,2.0,10,0.8,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,0.8,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,1.0,1.8,-2.489,142,-2615.76,40.93,0.32
BTCUSDT,donchian,chan,20,20,2.0,10,1.0,2.5,-2.570,111,-2956.11,41.41,0.30
BTCUSDT,donchian,chan,20,20,2.0,10,1.0,3.0,-2.125,103,-2861.11,40.98,0.27
BTCUSDT,donchian,chan,20,20,2.0,10,1.0,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,1.0,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,1.2,1.8,-1.830,140,-2040.67,35.34,0.34
BTCUSDT,donchian,chan,20,20,2.0,10,1.2,2.5,-3.899,108,-4821.57,58.94,0.27
BTCUSDT,donchian,chan,20,20,2.0,10,1.2,3.0,-2.876,98,-4252.08,52.75,0.27
BTCUSDT,donchian,chan,20,20,2.0,10,1.2,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,1.2,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,1.5,1.8,-1.986,140,-2399.22,38.73,0.36
BTCUSDT,donchian,chan,20,20,2.0,10,1.5,2.5,-3.285,102,-4258.98,53.13,0.28
BTCUSDT,donchian,chan,20,20,2.0,10,1.5,3.0,-1.930,89,-3139.34,42.72,0.30
BTCUSDT,donchian,chan,20,20,2.0,10,1.5,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,1.5,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,2.0,1.8,-2.179,140,-2738.21,41.93,0.36
BTCUSDT,donchian,chan,20,20,2.0,10,2.0,2.5,-1.950,96,-2387.92,35.02,0.32
