sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
15.6140,85.3390,900.5951,14566.6244,2.0581,0.8553,27.7589,76,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=30,bb_std=2)",1.0000,15.3917,9,0.9466,0.2500,0.2000,0.1500,0.1500,0.0467,0.0999,0.0500,0.0000,-1.0000,0.0000
18.3520,114.5071,1378.1748,14490.5188,1.5123,0.8767,38.4393,73,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2)",1.0000,17.4118,6,0.9451,0.2500,0.2000,0.1500,0.1500,0.0452,0.1000,0.0500,0.0000,-1.0000,0.0000
20.7685,100.2241,886.6661,11613.5716,1.6113,0.8310,23.6486,71,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,16.8678,7,0.9441,0.2500,0.2000,0.1500,0.1500,0.0441,0.1000,0.0500,0.0000,-1.0000,0.0000
12.7074,66.0545,452.3841,8195.0757,1.2908,0.7692,12.6848,78,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",1.0000,10.1882,7,0.9439,0.2499,0.2000,0.1500,0.1500,0.0478,0.0997,0.0466,0.0000,-1.0000,0.0000
14.0093,103.4575,1669.8236,22196.4716,2.2000,0.7531,18.3352,81,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=30,bb_std=2)",1.0000,13.2968,6,0.9439,0.2500,0.2000,0.1500,0.1500,0.0493,0.0998,0.0448,0.0000,-1.0000,0.0000
12.9773,85.1014,1056.7461,19368.5536,2.5865,0.7531,14.6146,81,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=30,bb_std=2)",1.0000,12.6665,7,0.9437,0.2499,0.2000,0.1500,0.1500,0.0493,0.0997,0.0448,0.0000,-1.0000,0.0000
14.4997,29.2227,90.3023,7670.7628,7.9657,0.8676,6.4678,68,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=30,bb_std=1.5)",1.0000,13.6104,6,0.9421,0.2500,0.2000,0.1498,0.1500,0.0425,0.0999,0.0500,0.0000,-1.0000,0.0000
17.1867,60.7462,464.7934,9080.2142,2.2043,0.8209,14.2501,67,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=30,bb_std=1.5)",1.0000,14.7668,7,0.9419,0.2500,0.2000,0.1500,0.1500,0.0419,0.1000,0.0500,0.0000,-1.0000,0.0000
10.3619,45.4577,156.8445,13931.1853,5.6063,0.6771,6.6655,96,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=20,bb_std=2)",1.0000,11.2600,8,0.9411,0.2495,0.2000,0.1498,0.1500,0.0565,0.0989,0.0363,0.0000,-1.0000,0.0000
19.8085,93.0573,789.3471,9991.2847,1.7931,0.8125,20.8931,64,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,15.2292,6,0.9402,0.2500,0.2000,0.1500,0.1500,0.0403,0.1000,0.0500,0.0000,-1.0000,0.0000
