timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.5180,9.8363,44.6943,27500.4615,23.0879,0.7810,4.0908,137,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=30,bb_std=2.5)",0.8000,3.2260,5,0.9215,0.2436,0.1999,0.1452,0.1200,0.0723,0.0926,0.0479,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,5.8136,8.7819,40.2720,82075.5951,9.9437,0.7925,7.1032,347,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",0.6250,2.2872,8,0.9202,0.2398,0.1999,0.1499,0.0938,0.0981,0.0896,0.0492,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.3459,9.4951,36.0094,66352.6149,15.1918,0.7701,6.1049,274,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=15,bb_std=2)",0.6250,2.6847,8,0.9195,0.2428,0.1997,0.1497,0.0938,0.0949,0.0920,0.0467,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.5519,20.7381,10.5643,18933.1116,13.6360,0.6376,3.6621,298,ema_cross,"ema_crossover(fast=5,slow=21,adx_min=20)",1.0000,3.4489,4,0.9190,0.2468,0.1569,0.1416,0.1500,0.0963,0.0955,0.0320,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.8855,14.3903,36.6136,10140.5601,11.1283,0.6204,3.3748,108,ema_cross,"ema_crossover(fast=8,slow=89,adx_min=15)",1.0000,6.1157,6,0.9181,0.2450,0.1997,0.1379,0.1500,0.0617,0.0938,0.0300,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,4.6416,8.0558,36.9167,23848.8374,17.1063,0.6623,4.1593,154,bb_reverse,"bollinger_breakout(bb_period=50,bb_std=2,vol_mult=1.5)",1.0000,3.7191,4,0.9178,0.2283,0.1998,0.1456,0.1500,0.0773,0.0821,0.0347,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.0883,9.6301,20.3948,42776.9685,21.7689,0.7004,4.6469,247,channel_break,"keltner_breakout(ema=10,atr=30,atr_mult=2,atr_pct_min=0)",0.7500,3.4469,4,0.9177,0.2415,0.1933,0.1477,0.1125,0.0928,0.0909,0.0389,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.4345,12.9705,45.4648,12864.6200,13.3889,0.6226,3.4043,106,bb_reverse,"bollinger_breakout(bb_period=30,bb_std=3,vol_mult=1.3)",1.0000,5.2006,5,0.9150,0.2432,0.2000,0.1383,0.1500,0.0609,0.0923,0.0303,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,5.2072,7.2231,38.1456,36939.0260,20.4088,0.8045,4.6292,179,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2.5)",0.7500,2.8992,8,0.9143,0.2349,0.1998,0.1476,0.1125,0.0832,0.0862,0.0500,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.3118,11.4260,25.0245,10061.9173,11.6032,0.6094,3.1692,128,ema_cross,"ema_crossover(fast=13,slow=34,adx_min=25)",1.0000,6.9956,5,0.9142,0.2427,0.1973,0.1342,0.1500,0.0693,0.0918,0.0288,0.0000,-1.0000,0.0000
