symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,return_pct,max_dd,trades,plateau,wf_sharpe,wrc_p,wrc_sig
AAVEUSDT,rsi_bb_mr,chan,14,15,1.5,10,1.5,3.0,2.106,0.0,0.0,324,false,0.000,1.0000,false
AAVEUSDT,rsi_bb_mr,chan_ts,14,15,1.5,10,1.5,3.0,2.106,0.0,0.0,324,false,0.000,1.0000,false
AAVEUSDT,rsi_bb_mr,sig_be,14,15,1.5,10,2.5,3.0,2.059,0.0,0.0,324,false,0.000,1.0000,false
ADAUSDT,donchian,chan,50,50,2.0,21,2.5,3.0,1.670,0.0,0.0,63,false,0.000,1.0000,false
ADAUSDT,donchian,chan_ts,50,50,2.0,21,2.0,3.0,1.444,0.0,0.0,63,false,0.000,1.0000,false
ADAUSDT,donchian,sig_be,50,50,2.0,21,2.5,3.0,1.482,0.0,0.0,63,false,0.000,1.0000,false
ADAUSDT,dual_momentum,chan,30,30,2.0,21,2.5,3.0,-0.114,0.0,0.0,54,false,0.000,1.0000,false
ADAUSDT,dual_momentum,chan_ts,15,15,2.0,21,2.5,3.0,-0.098,0.0,0.0,54,false,0.000,1.0000,false
ADAUSDT,dual_momentum,sig_be,30,30,2.0,10,2.0,3.0,0.804,0.0,0.0,54,false,0.000,1.0000,false
ADAUSDT,ema_crossover,chan,20,30,2.0,14,1.5,3.0,2.220,0.0,0.0,207,false,0.000,1.0000,false
ADAUSDT,ema_crossover,chan_ts,20,40,2.0,14,2.5,3.0,2.374,0.0,0.0,207,false,0.000,1.0000,false
ADAUSDT,ema_crossover,sig_be,12,40,2.0,10,2.5,3.0,2.186,0.0,0.0,207,false,0.000,1.0000,false
ADAUSDT,keltner_breakout,chan,10,10,3.0,21,2.5,3.0,2.380,0.0,0.0,180,false,0.000,1.0000,false
ADAUSDT,keltner_breakout,chan_ts,10,10,3.0,21,2.5,3.0,2.380,0.0,0.0,180,false,0.000,1.0000,false
ADAUSDT,keltner_breakout,sig_be,10,10,3.0,21,1.5,3.0,2.778,0.0,0.0,180,false,0.000,1.0000,false
ADAUSDT,supertrend,chan,14,14,2.0,10,2.0,3.0,0.678,0.0,0.0,144,false,0.000,1.0000,false
ADAUSDT,supertrend,chan_ts,14,14,3.5,14,1.5,3.0,-0.060,0.0,0.0,144,false,0.000,1.0000,false
ADAUSDT,supertrend,sig_be,7,7,2.5,14,1.5,3.0,1.171,0.0,0.0,144,false,0.000,1.0000,false
ADAUSDT,tsmom,chan,15,30,0.1,21,1.5,3.0,2.658,0.0,0.0,486,false,0.000,1.0000,false
ADAUSDT,tsmom,chan_ts,40,30,0.1,10,2.5,3.0,2.645,0.0,0.0,486,false,0.000,1.0000,false
ADAUSDT,tsmom,sig_be,15,30,0.1,21,2.0,3.0,3.251,0.0,0.0,486,false,0.000,1.0000,false
ADAUSDT,rsi2,chan,2,20,5.0,10,1.5,3.0,3.018,0.0,0.0,162,false,0.000,1.0000,false
ADAUSDT,rsi2,chan_ts,2,20,5.0,10,1.5,3.0,3.018,0.0,0.0,162,false,0.000,1.0000,false
ADAUSDT,rsi2,sig_be,2,2
